模型族,参数,扰动百分比,负扰动临界时间_h,正扰动临界时间_h,负扰动时长变化_s,正扰动时长变化_s,有符号有限弹性,数值区间下限,数值区间上限,负扰动时间预算_s,正扰动时间预算_s,配对预算占响应比例,方向已分辨,5百分比内部目标
Q23,扩散前因子,1.0,57.987229698600835,56.971166697252535,1847.6369207407115,-1810.189884113177,-0.8839327787208578,-0.883981524311669,-0.8838840331771484,0.10116073981322493,0.09878741217594501,5.466309988319877e-05,True,True
Q23,含水率指数系数,1.0,56.12147955517964,58.866593330821225,-4869.063595575601,5013.345996734104,2.3881354250551814,2.3880859204551776,2.38818492970302,0.09725896713163182,0.1028229260067714,2.02462659809307e-05,True,True
Q23,对流换热系数,1.0,57.47479014097959,57.473220320898676,2.854513304249849,-2.796838987065712,-0.0013656785301491585,-0.001413990232994911,-0.0013173668739858194,0.0999852779301614,0.09993189571311616,0.03537510375180299,True,True
Q23,对流传质系数,1.0,57.53957659530206,57.40998474323661,236.0857488651236,-230.44491857048706,-0.11273955034656932,-0.11278796192973577,-0.1126911388101818,0.09992929432406138,0.10017852835249948,0.00042892747817951157,True,True
Q23,导热系数,1.0,57.47413466598348,57.473862596553325,0.4948093313432764,-0.48464061721460894,-0.00023668914928478055,-0.00024878909195765917,-0.0002245892095404608,0.02504224721306947,0.025028737352157833,0.05112153473380688,True,False
Q23,体积热容量,1.0,57.4730767161463,57.47491841534059,-3.3138160956150386,3.3163010038260836,0.0016022021116955988,0.0015538769176296043,0.0016505273524570884,0.10000480233622848,0.09996792001533586,0.030161265533065893,True,True
Q23,初始含水率,1.0,57.4262507432032,57.52123524937271,-171.8873186907731,170.05690351946396,0.08263259105235599,0.08258426179112005,0.08268092036029134,0.09995488338501494,0.099872666474564,0.0005843863907626411,True,True
Q23,温度指数系数,1.0,51.78331660881429,63.92106176412024,-20486.450202490843,23209.432356610574,10.559336171377208,10.55928230870638,10.559390034100083,0.08724023348331525,0.11453934966196014,4.61781685888495e-06,True,True
Q23,初始半径,1.0,56.397390546197244,58.560996032791735,-3875.7840279122174,3913.1957238279574,1.8822472693950332,1.8821980462534518,1.8822964925841776,0.09784849645342891,0.10208010064886856,2.566813671041197e-05,True,True
Q4,扩散前因子,1.0,51.542462729779984,50.6436502216323,1634.2599085452384,-1601.4651207864226,-0.8796622324232514,-0.8797187438813409,-0.8796057210284665,0.10425369191558351,0.10180401843771145,6.368208314532097e-05,True,True
Q4,含水率指数系数,1.0,50.341620256522496,51.84960502049135,-2688.772995181731,2739.9721551061666,1.4758553445888827,1.4757985012441386,1.4759121879973032,0.10120104511252427,0.10484938034988016,3.795544269590131e-05,True,True
Q4,对流换热系数,1.0,51.08922858621934,51.087789705447925,2.6169917269144207,-2.5629790501843672,-0.0014082236952659402,-0.001464235096880087,-0.0013522123563962647,0.10301055302957643,0.10301720824498943,0.03977392347181511,True,True
Q4,对流传质系数,1.0,51.11402747722639,51.063669180101876,91.89299935227609,-89.3968702959537,-0.04928535336125931,-0.0493413886385518,-0.04922931814673803,0.10279953663312706,0.10321740822390499,0.0011363952396059528,True,True
Q4,导热系数,1.0,51.088677335677,51.08832967740127,0.6324899405881297,-0.6190798520401586,-0.0003402510002666398,-0.0003542679318923983,-0.0003262340725702986,0.02578049118722704,0.025778816640598556,0.04119571128314897,True,True
Q4,体积热容量,1.0,51.08760923933968,51.08939557799968,-3.2126570398686454,3.2181621361523867,0.0017482785778794553,0.0016922658553412855,0.0018042913631636465,0.10302095306260635,0.10301119727815772,0.03203824344945168,True,True
Q4,初始含水率,1.0,51.04205370164817,51.13443146839726,-167.21259272928,165.34736756741768,0.0904095479181076,0.09035348834175151,0.09046560755726218,0.10298894619452457,0.10303288352769185,0.00061950280947355,True,True
Q4,温度指数系数,1.0,46.048457511321516,56.784450132381615,-18144.158877905254,20505.414557911106,10.507249454932522,10.507187090497249,10.507311819437655,0.08928524051133703,0.11846667731649393,5.375270652671896e-06,True,True
Q4,收缩幅度,1.0,51.667760442838514,50.51351317715003,2085.3316755559354,-2069.9584809225926,-1.1296546468811832,-1.1297112939691438,-1.129597999856679,0.10451543137840417,0.10152612299810333,4.958535905254832e-05,True,True
Q23,温度指数系数,0.5,54.5396939631067,60.59722935151092,-10563.49172703817,11243.635671217024,10.539610400077127,10.539508447378221,10.539712352874547,0.09340292215859539,0.10700797726905632,9.190155849856995e-06,True,True
Q23,含水率指数系数,0.5,56.79279853292273,58.16521499413873,-2452.315275700472,2488.3839846771443,2.3878910943811746,2.3877932818322747,2.3879889070245883,0.09860112307690189,0.10139234916482841,4.047877875214871e-05,True,True
Q23,初始半径,0.5,56.93439505422971,58.01619741849621,-1942.5677989953256,1951.9207123640808,1.8822466099128967,1.8821490473355107,1.8823441725845553,0.0989136419467938,0.10106808716598273,5.134993428006573e-05,True,True
Q23,初始含水率,0.5,57.45018822785303,57.497679105176715,-85.71237395136268,85.25478441387531,0.08263019734190526,0.08253353578037596,0.08272685899683632,0.09994790635434021,0.09996853701913215,0.0011693265846203624,True,True
Q4,温度指数系数,0.5,48.4912657237868,53.84957021223995,-9350.049313030206,9939.84684540113,10.488278802505832,10.488160672512125,10.488396932631868,0.09594130805521331,0.11051748833156078,1.0702950119124095e-05,True,True
Q4,收缩幅度,0.5,51.37759742734511,50.80047344099308,1040.7448197796766,-1036.901531087613,-1.1296553388329404,-1.129767993199032,-1.129542684593045,0.10376651139172331,0.10226201255814144,9.916438563466805e-05,True,True
