模型族,参数一,参数二,四角差I_s,编码交互系数_s,四角差预算_s,交互方向已分辨
Q23,扩散前因子,对流传质系数,-91.81818774642306,-22.954546936605766,0.4011112536290687,True
Q23,含水率指数系数,初始含水率,9.207878994580824,2.301969748645206,0.40280629343702407,True
Q4,扩散前因子,收缩幅度,2178.565115657315,544.6412789143287,0.4138415565241816,True
Q4,含水率指数系数,对流传质系数,94.76797439507209,23.691993598768022,0.41292205526024295,True
